run_index,row,action_index,type,selector,value,status,note,before_ss,after_ss,timestamp
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",1,click,#username,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action01_1762070229029.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action01_1762070236292.png,2025-11-02 13:27:16
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",2,fill,#username,user1,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action02_1762070239391.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action02_1762070239656.png,2025-11-02 13:27:19
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",3,fill,#password,us,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action03_1762070242774.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action03_1762070243037.png,2025-11-02 13:27:23
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",4,fill,#password,userpass1,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action04_1762070246140.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action04_1762070246396.png,2025-11-02 13:27:26
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",5,click,#loginBtn,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action05_1762070249491.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action05_1762070250842.png,2025-11-02 13:27:30
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",6,click,#searchBox,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action06_1762070254012.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action06_1762070261214.png,2025-11-02 13:27:41
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",7,fill,#searchBox,Siebel Upgrade,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action07_1762070264356.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action07_1762070264662.png,2025-11-02 13:27:44
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",8,click,#searchBtn,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action08_1762070267790.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action08_1762070268374.png,2025-11-02 13:27:48
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",9,click,button[id^='addCartBtn'] >> nth=0,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action09_1762070271502.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action09_1762070272674.png,2025-11-02 13:27:52
1,"{""username"": ""user1"", ""password"": ""userpass1"", ""product_query"": ""Siebel Upgrade"", ""cc_num"": ""4111111111111110"", ""cc_cvv"": ""901""}",10,click,#linkCart,,OK,,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\before_action10_1762070275789.png,C:\Users\Harshita Paliwal\Documents\TestAutomation\test-automation-demo\dd_reports\20251102_132701\screenshots\run_001\after_action10_1762070276342.png,2025-11-02 13:27:56
